sigma,T_each_dim,n_picewise_models,page_size,tau,status,tempo_execucao
1,1,1,1,1,Sucesso,0.7231626510620117
1,1,1,1,101,Sucesso,0.6289904117584229
1,1,1,1,201,Sucesso,0.5694270133972168
1,1,1,1,301,Sucesso,0.5664339065551758
1,1,1,1,401,Sucesso,0.5497870445251465
1,1,1,1,501,Sucesso,0.594520092010498
1,1,1,1,601,Sucesso,0.5707695484161377
1,1,1,1,701,Sucesso,0.5970287322998047
1,1,1,1,801,Sucesso,0.5641334056854248
1,1,1,1,901,Sucesso,0.5963995456695557
1,1,1,1,1001,Sucesso,0.6021227836608887
1,1,1,101,1,Sucesso,0.5291702747344971
1,1,1,101,101,Sucesso,0.47531723976135254
1,1,1,101,201,Sucesso,0.4752345085144043
1,1,1,101,301,Sucesso,0.47098231315612793
1,1,1,101,401,Sucesso,0.4244258403778076
1,1,1,101,501,Sucesso,0.45945096015930176
1,1,1,101,601,Sucesso,0.4623117446899414
1,1,1,101,701,Sucesso,0.48431968688964844
1,1,1,101,801,Sucesso,0.47375035285949707
1,1,1,101,901,Sucesso,0.4904506206512451
1,1,1,101,1001,Sucesso,0.45332956314086914
1,1,1,201,1,Sucesso,0.4980618953704834
